t, x1, x2, u
0.473, 0.00874773, 0.0289811, 1
0.474, 0.00877671, 0.0289836, 1
0.475, 0.0088057, 0.0289858, 1
0.476, 0.00883468, 0.0289876, 1
0.477, 0.00886367, 0.0289892, 1
0.478, 0.00889266, 0.0289905, 1
0.479, 0.00892165, 0.0289916, 1
0.48, 0.00895065, 0.0289923, 1
0.481, 0.00897964, 0.0289928, 1
0.482, 0.00900863, 0.0289929, 1
0.483, 0.00903762, 0.0289928, 1
0.484, 0.00906662, 0.0289924, 1
0.485, 0.00909561, 0.0289917, 1
0.486, 0.0091246, 0.0289908, 1
0.487, 0.00915359, 0.0289895, 1
0.488, 0.00918258, 0.028988, 1
0.489, 0.00921157, 0.0289862, 1
0.49, 0.00924055, 0.0289841, 1
0.491, 0.00926953, 0.0289817, 1
0.492, 0.00929852, 0.028979, 1
0.493, 0.00932749, 0.0289761, 1
0.494, 0.00935647, 0.0289728, 1
0.495, 0.00938544, 0.0289693, 1
0.496, 0.00941441, 0.0289655, 1
0.497, 0.00944337, 0.0289614, 1
0.498, 0.00947233, 0.0289571, 1
0.499, 0.00950128, 0.0289524, 1
0.5, 0.00953023, 0.0289475, 1
0.501, 0.00955918, 0.0289423, 1
0.502, 0.00958812, 0.0289368, 1
0.503, 0.00961705, 0.028931, 1
0.504, 0.00964598, 0.028925, 1
0.505, 0.0096749, 0.0289186, 1
0.506, 0.00970382, 0.028912, 1
0.507, 0.00973273, 0.0289051, 1
0.508, 0.00976163, 0.028898, 1
0.509, 0.00979052, 0.0288905, 1
0.51, 0.00981941, 0.0288828, 1
0.511, 0.00984829, 0.0288747, 1
0.512, 0.00987716, 0.0288664, 1
0.513, 0.00990602, 0.0288579, 1
0.514, 0.00993487, 0.028849, 1
0.515, 0.00996372, 0.0288399, 1
0.516, 0.00999255, 0.0288304, 1
0.517, 0.0100214, 0.0288207, 1
0.518, 0.0100502, 0.0288108, 1
0.519, 0.010079, 0.0288005, 1
0.52, 0.0101078, 0.02879, 1
0.521, 0.0101366, 0.0287792, 1
0.522, 0.0101654, 0.0287681, 1
0.523, 0.0101941, 0.0287567, 1
0.524, 0.0102229, 0.0287451, 1
0.525, 0.0102516, 0.0287331, 1
0.526, 0.0102803, 0.0287209, 1
0.527, 0.010309, 0.0287085, 1
0.528, 0.0103377, 0.0286957, 1
0.529, 0.0103664, 0.0286827, 1
0.53, 0.0103951, 0.0286694, 1
0.531, 0.0104238, 0.0286558, 1
0.532, 0.0104524, 0.028642, 1
0.533, 0.0104811, 0.0286278, 1
0.534, 0.0105097, 0.0286134, 1
0.535, 0.0105383, 0.0285987, 1
0.536, 0.0105669, 0.0285838, 1
0.537, 0.0105955, 0.0285685, 1
0.538, 0.010624, 0.028553, 1
0.539, 0.0106526, 0.0285373, 1
0.54, 0.0106811, 0.0285212, 1
0.541, 0.0107096, 0.0285049, 1
0.542, 0.0107381, 0.0284883, 1
0.543, 0.0107666, 0.0284714, 1
0.544, 0.010795, 0.0284543, 1
0.545, 0.0108235, 0.0284369, 1
0.546, 0.0108519, 0.0284192, 1
0.547, 0.0108803, 0.0284012, 1
0.548, 0.0109087, 0.028383, 1
0.549, 0.0109371, 0.0283645, 1
0.55, 0.0109654, 0.0283457, 1
0.551, 0.0109938, 0.0283267, 1
0.552, 0.0110221, 0.0283074, 1
0.553, 0.0110504, 0.0282878, 1
0.554, 0.0110787, 0.0282679, 1
0.555, 0.0111069, 0.0282478, 1
0.556, 0.0111352, 0.0282274, 1
0.557, 0.0111634, 0.0282068, 1
0.558, 0.0111916, 0.0281858, 1
0.559, 0.0112198, 0.0281646, 1
0.56, 0.0112479, 0.0281432, 1
0.561, 0.011276, 0.0281214, 1
0.562, 0.0113042, 0.0280994, 1
0.563, 0.0113322, 0.0280772, 1
0.564, 0.0113603, 0.0280546, 1
0.565, 0.0113884, 0.0280319, 1
0.566, 0.0114164, 0.0280088, 1
0.567, 0.0114444, 0.0279855, 1
0.568, 0.0114723, 0.0279619, 1
0.569, 0.0115003, 0.027938, 1
0.57, 0.0115282, 0.0279139, 1
0.571, 0.0115561, 0.0278895, 1
0.572, 0.011584, 0.0278648, 1
0.573, 0.0116119, 0.0278399, 1
0.574, 0.0116397, 0.0278148, 1
0.575, 0.0116675, 0.0277893, 1
0.576, 0.0116953, 0.0277636, 1
0.577, 0.011723, 0.0277376, 1
0.578, 0.0117507, 0.0277114, 1
0.579, 0.0117784, 0.0276849, 1
0.58, 0.0118061, 0.0276582, 1
0.581, 0.0118337, 0.0276312, 1
0.582, 0.0118614, 0.0276039, 1
0.583, 0.011889, 0.0275764, 1
0.584, 0.0119165, 0.0275486, 1
0.585, 0.0119441, 0.0275205, 1
0.586, 0.0119716, 0.0274922, 1
0.587, 0.011999, 0.0274637, 1
0.588, 0.0120265, 0.0274349, 1
0.589, 0.0120539, 0.0274058, 1
0.59, 0.0120813, 0.0273764, 1
0.591, 0.0121087, 0.0273468, 1
0.592, 0.012136, 0.027317, 1
0.593, 0.0121633, 0.0272869, 1
0.594, 0.0121906, 0.0272565, 1
0.595, 0.0122178, 0.0272259, 1
0.596, 0.012245, 0.027195, 1
0.597, 0.0122722, 0.0271639, 1
0.598, 0.0122993, 0.0271325, 1
0.599, 0.0123265, 0.0271009, 1
0.6, 0.0123535, 0.027069, 1
0.601, 0.0123806, 0.0270369, 1
0.602, 0.0124076, 0.0270045, 1
0.603, 0.0124346, 0.0269718, 1
0.604, 0.0124616, 0.0269389, 1
0.605, 0.0124885, 0.0269058, 1
0.606, 0.0125154, 0.0268724, 1
0.607, 0.0125422, 0.0268388, 1
0.608, 0.0125691, 0.0268049, 1
0.609, 0.0125958, 0.0267707, 1
0.61, 0.0126226, 0.0267363, 1
0.611, 0.0126493, 0.0267017, 1
0.612, 0.012676, 0.0266668, 1
0.613, 0.0127026, 0.0266316, 1
0.614, 0.0127293, 0.0265963, 1
0.615, 0.0127558, 0.0265606, 1
0.616, 0.0127824, 0.0265247, 1
0.617, 0.0128089, 0.0264886, 1
0.618, 0.0128354, 0.0264523, 1
0.619, 0.0128618, 0.0264156, 1
0.62, 0.0128882, 0.0263788, 1
0.621, 0.0129146, 0.0263417, 1
0.622, 0.0129409, 0.0263043, 1
0.623, 0.0129672, 0.0262667, 1
0.624, 0.0129934, 0.0262289, 1
0.625, 0.0130196, 0.0261908, 1
0.626, 0.0130458, 0.0261525, 1
0.627, 0.0130719, 0.026114, 1
0.628, 0.013098, 0.0260752, 1
0.629, 0.0131241, 0.0260361, 1
0.63, 0.0131501, 0.0259968, 1
0.631, 0.0131761, 0.0259573, 1
